
                       Track Name                                 Total Number Of Streams  

                    $uicideBoy$                                             1540032 
                       24kGoldn                                             8682698 
                        6ix9ine                                             1416448 
                  Ariana Grande                                             2047602 
                 Arizona Zervas                                             2278261 
                        Ava Max                                             1663404 
                          BENEE                                             1444794 
                            BTS                                             8547583 
                     Bea Miller                                             1464189 
                  Billie Eilish                                            10034063 
                      Blackbear                                             4649024 
                          BØRNS                                             3087127 
                        Cardi B                                            18436479 
                    Chris Brown                                             5846866 
                     City Girls                                             1510841 
              Claire Rosinkranz                                             1475321 
                     Conan Gray                                             6873488 
                  Curtis Waters                                             2308982 
                      DJ Khaled                                             7596070 
                         DaBaby                                            12187088 
                     Dan + Shay                                             3184534 
                          Diplo                                             1926539 
                       Doja Cat                                             1711364 
                    Don Toliver                                             2804934 
                          Drake                                            18590787 
                       Dua Lipa                                             4270670 
                         Eminem                                             1933480 
                         Future                                             4606043 
                        G Herbo                                             1757432 
                  Gabby Barrett                                             1745415 
                      Grouplove                                             1815996 
                          Gunna                                             3346152 
                   Harry Styles                                            10177951 
                      Iann dior                                             2424809 
                 Internet Money                                             5231942 
                       J Balvin                                             2761917 
                        J. Cole                                             4930769 
                       JACKBOYS                                             1550812 
                        JP Saxe                                             1921460 
                    Jack Harlow                                             9161022 
                   James Arthur                                             1421130 
                   Jason Derulo                                             1574006 
                      Jawsh 685                                             4604933 
                     Joel Corry                                             1949215 
                           Joji                                             1955472 
                     Juice WRLD                                            58430191 
                  Justin Bieber                                             2453265 
                        KAROL G                                             1445355 
                     Kane Brown                                             3403502 
                 Kendrick Lamar                                             2251681 
                       Labrinth                                             2342028 
                      Lady Gaga                                             2512086 
                  Lewis Capaldi                                             5344798 
                       Lil Baby                                            10517202 
                       Lil Durk                                             1849005 
                      Lil Mosey                                             4667530 
                       Lil Peep                                             1428582 
                      Lil Tecca                                             1472326 
                       Lil Tjay                                             1477631 
                   Lil Uzi Vert                                             6370659 
                          Lizzo                                             1575422 
                     Luke Bryan                                             1445759 
                     Luke Combs                                             1729940 
              Machine Gun Kelly                                             3248310 
                   Maddie & Tae                                             1970889 
                         Maluma                                             2736231 
                       Maroon 5                                             3274477 
                     Marshmello                                             2164809 
                      Meek Mill                                             1415537 
            Megan Thee Stallion                                             6597139 
                          Migos                                             1644927 
                    Miley Cyrus                                             3695377 
                      Money Man                                             2357286 
                   Moneybagg Yo                                             1609302 
                  Morgan Wallen                                            12663080 
                        Mustard                                             2235391 
                     NLE Choppa                                             4305898 
                    NextYoungin                                             1866966 
                     Nio Garcia                                             1710233 
                     Noah Cyrus                                             1739466 
             Peach Tree Rascals                                             1653832 
                         Polo G                                            10028419 
                      Pop Smoke                                            23553140 
                    Post Malone                                            14343229 
                          Powfu                                             3193928 
                       Rod Wave                                             5497705 
                    Roddy Ricch                                             5469018 
                      SAINt JHN                                             3936515 
                       Saweetie                                             3503180 
                   Social House                                             1566269 
                 StaySolidRocky                                             3687792 
                      Surf Mesa                                             1960989 
                       Surfaces                                             2603716 
                     THE SCOTTS                                             2598914 
                    Tame Impala                                             1675677 
                     Tate McRae                                             2601516 
                   Taylor Swift                                            25519189 
                  The Kid LAROI                                             2765400 
                    The Killers                                             1485090 
              The Neighbourhood                                             1462307 
                     The Weeknd                                             5243149 
                    Tones And I                                             1961612 
                          Topic                                             2644155 
                   Travis Scott                                            10185325 
                  Trevor Daniel                                             2256143 
                        Wallows                                             2160697 
                   XXXTENTACION                                             6996035 
                      YNW Melly                                             3036830 
     YoungBoy Never Broke Again                                             1752601 
