
Temperature ( °F)             Temperature(°C)  

    75.60                         24.22
    71.60                         22.00
    67.60                         19.78
    70.90                         21.61
    73.00                         22.78
    65.60                         18.67
    68.40                         20.22
    74.00                         23.33
    72.40                         22.44
    74.60                         23.67
    76.10                         24.50
    79.20                         26.22
    77.00                         25.00
    76.80                         24.89
    63.00                         17.22
